actual,predicted
66.67,39.370888
66.67,47.34633
46.67,60.882446
0.0,33.800835
6.67,36.472687
46.67,48.69175
46.67,67.46337
66.67,88.791466
26.67,48.407143
33.33,63.160385
80.0,70.051384
80.0,37.026352
13.33,42.182976
100.0,50.54676
33.33,45.186665
53.33,46.16236
40.0,35.7031
33.33,65.958145
20.0,49.15561
33.33,59.12649
66.67,59.586212
60.0,38.11102
20.0,46.194508
40.0,57.626488
73.33,48.048866
26.67,61.079506
60.0,42.557266
33.33,47.78852
66.67,86.85001
100.0,71.510086
53.33,45.316223
66.67,51.020252
53.33,52.833786
20.0,43.227753
0.0,32.02373
6.67,36.18375
53.33,29.157196
73.33,67.84905
26.67,59.73453
6.67,38.389114
100.0,76.80083
40.0,65.38151
80.0,57.19844
40.0,58.4127
66.67,58.189915
0.0,32.753372
26.67,37.977837
53.33,48.45897
46.67,60.99908
20.0,48.47386
0.0,29.04347
60.0,38.545826
46.67,54.62903
73.33,58.288246
66.67,76.304344
73.33,51.45573
20.0,43.4903
6.67,41.72271
40.0,36.242977
66.67,53.684566
53.33,43.83738
40.0,39.410603
73.33,46.54608
60.0,42.735065
53.33,48.412663
46.67,45.31707
40.0,36.491474
53.33,45.661316
40.0,64.281
80.0,59.924812
100.0,86.81083
73.33,40.88242
0.0,30.222355
26.67,53.451958
46.67,67.8625
60.0,76.52471
40.0,48.002586
33.33,46.557266
40.0,38.260162
66.67,46.829433
66.67,59.13178
33.33,62.743286
0.0,31.275326
0.0,33.714424
80.0,65.220795
80.0,62.20733
0.0,33.929134
46.67,40.772583
33.33,39.339447
26.67,42.878075
6.67,36.28898
40.0,68.19723
13.33,40.93261
60.0,69.89918
46.67,37.60389
46.67,40.94075
53.33,43.07229
53.33,46.90454
66.67,74.727715
40.0,36.368828
86.67,60.19081
20.0,36.761997
33.33,45.700108
46.67,41.91032
40.0,58.11519
66.67,50.46404
26.67,59.770203
20.0,44.413208
40.0,37.416897
46.67,74.33114
40.0,48.430904
26.67,43.082985
33.33,66.61862
60.0,42.226864
60.0,39.1467
46.67,43.006016
66.67,44.784786
40.0,38.18966
46.67,38.80625
66.67,42.536102
80.0,60.33629
20.0,47.208443
73.33,59.42604
80.0,45.4915
80.0,62.41074
46.67,40.288086
60.0,50.09616
66.67,36.790234
53.33,45.01436
40.0,39.41338
53.33,32.496586
20.0,44.309097
40.0,36.34597
100.0,77.99494
66.67,88.94224
46.67,73.12022
6.67,36.92733
46.67,67.12009
60.0,68.24096
13.33,40.68093
26.67,43.183777
13.33,38.692677
26.67,40.188297
33.33,58.009323
33.33,59.742027
60.0,82.13308
20.0,45.46962
60.0,49.65339
0.0,29.444725
46.67,52.555607
93.33,72.84735
46.67,46.13852
46.67,57.822495
46.67,40.126328
66.67,53.67766
20.0,44.141594
66.67,72.3413
33.33,31.705647
93.33,54.995094
93.33,56.912247
46.67,63.798725
20.0,49.009975
60.0,59.29654
66.67,49.49186
80.0,73.19082
80.0,65.602
26.67,37.526936
100.0,70.64714
40.0,50.940468
40.0,39.41441
0.0,30.131893
100.0,63.975746
33.33,59.94345
53.33,51.019253
53.33,50.60377
46.67,39.431026
100.0,63.809967
33.33,57.531384
86.67,41.731895
26.67,47.126236
53.33,60.632133
93.33,59.37582
26.67,38.36232
33.33,38.073463
73.33,58.656387
86.67,79.02018
0.0,31.718483
53.33,47.6883
93.33,69.89712
66.67,52.65686
20.0,35.718475
66.67,58.03202
80.0,52.58737
80.0,61.877357
20.0,44.43133
33.33,59.848946
33.33,39.75287
53.33,45.08487
86.67,62.494087
20.0,32.529354
80.0,72.152
33.33,60.388767
0.0,29.49778
33.33,53.762703
73.33,47.5255
93.33,72.96143
33.33,60.94314
20.0,37.083954
40.0,45.43863
46.67,70.83097
33.33,32.293816
93.33,68.44729
26.67,41.62452
6.67,37.092537
53.33,56.971848
73.33,52.70784
33.33,59.981728
66.67,62.1399
86.67,50.504932
53.33,68.203354
13.33,40.716896
40.0,46.77104
60.0,32.022774
33.33,42.257706
80.0,69.53391
13.33,40.455704
33.33,42.505566
46.67,50.47764
53.33,46.135376
60.0,51.462452
46.67,64.26122
0.0,31.21447
33.33,47.00865
26.67,42.2395
33.33,40.838547
33.33,42.806046
100.0,80.103836
60.0,64.90882
26.67,52.75244
66.67,79.3093
60.0,53.125378
66.67,78.22178
40.0,63.656796
6.67,40.62685
60.0,62.32769
60.0,58.855614
40.0,55.560806
66.67,53.942417
20.0,43.812424
40.0,56.080902
46.67,56.14909
80.0,51.848434
66.67,67.834145
53.33,83.11999
60.0,33.389008
53.33,45.58879
20.0,45.69039
46.67,52.01058
60.0,59.182922
20.0,32.68318
46.67,42.39498
46.67,49.072083
26.67,42.351868
60.0,55.68302
60.0,52.53779
40.0,35.75203
33.33,55.732464
20.0,48.186752
93.33,63.343292
33.33,43.890213
40.0,35.798103
66.67,46.547665
93.33,52.167793
13.33,38.57036
46.67,62.067112
13.33,39.430508
60.0,38.050125
60.0,29.569225
66.67,43.780678
46.67,61.67465
53.33,45.42666
86.67,78.042435
26.67,37.344208
6.67,38.953667
46.67,39.89693
20.0,37.370766
46.67,50.660347
53.33,45.825024
80.0,46.80974
46.67,39.657223
73.33,69.78213
33.33,67.00982
60.0,55.13627
60.0,53.62272
53.33,31.564447
13.33,39.603004
100.0,44.997353
13.33,41.630196
60.0,45.095222
40.0,62.737255
100.0,86.736336
40.0,39.83812
86.67,46.399834
33.33,55.561913
66.67,87.910194
73.33,54.821457
66.67,68.925705
13.33,38.72071
60.0,39.41494
20.0,31.217636
66.67,46.243458
33.33,45.282623
6.67,36.60721
33.33,32.486713
0.0,30.021275
40.0,53.198418
20.0,46.241894
73.33,67.93556
26.67,38.745605
13.33,39.551292
86.67,65.720634
46.67,62.373466
100.0,77.678764
26.67,35.763863
66.67,38.14772
93.33,80.73686
26.67,55.5475
53.33,49.15161
80.0,75.116646
40.0,38.526634
33.33,31.703314
26.67,30.093035
86.67,44.09978
66.67,52.476624
80.0,52.794212
73.33,52.676727
86.67,65.158104
26.67,36.342995
26.67,46.69876
6.67,38.870293
60.0,49.065735
86.67,59.41411
26.67,44.31833
53.33,46.613533
40.0,62.50156
40.0,62.93017
73.33,49.73356
53.33,42.601913
33.33,30.355694
66.67,59.294655
86.67,39.42
20.0,44.955467
60.0,56.078674
53.33,70.11316
73.33,39.03134
0.0,31.091457
40.0,45.69758
33.33,35.3424
46.67,64.098465
46.67,49.4863
40.0,44.817356
46.67,47.295353
33.33,57.096058
13.33,38.84001
40.0,38.390057
40.0,56.32592
80.0,71.39765
60.0,36.509636
80.0,56.6377
33.33,30.975273
6.67,37.444542
73.33,43.834965
60.0,50.661705
46.67,53.593422
13.33,42.32489
80.0,59.312256
46.67,41.599968
40.0,37.86159
33.33,30.971313
13.33,40.244972
26.67,42.03766
20.0,46.84613
93.33,57.145603
100.0,69.15072
73.33,63.94467
100.0,53.169903
80.0,48.436806
13.33,39.5459
80.0,52.316696
100.0,70.99711
60.0,56.325737
20.0,46.623848
93.33,65.999176
73.33,48.36627
33.33,29.932383
53.33,66.83337
46.67,64.117004
66.67,87.084984
60.0,50.030136
20.0,45.77967
60.0,32.14623
86.67,62.53055
73.33,53.76986
86.67,67.73637
0.0,33.34963
100.0,57.178535
40.0,61.95102
80.0,78.55262
53.33,54.310677
33.33,56.30052
53.33,74.37525
60.0,57.66385
86.67,56.06421
66.67,43.21524
60.0,-180.18712
93.33,72.080574
73.33,54.854317
73.33,68.06493
6.67,36.796196
